type,img,name,link,,,
author,https://learn-awesome.github.io/assets/people/Bren%C3%A9_Brown.png,Brené Brown,brene-brown-books,,,
author,https://learn-awesome.github.io/assets/people/Gretchen_Rubin.png,Gretchen Rubin,gretchen-rubin-books,,,
author,https://learn-awesome.github.io/assets/people/Esther_Perel.png,Esther Perel,esther-perel-books,,,
author,https://learn-awesome.github.io/assets/people/Scott_Adams.png,Scott Adams,scott-adams-books,,,
author,https://learn-awesome.github.io/assets/people/Hamilton_Morris.png,Hamilton Morris,hamilton-morris-books,,,
author,https://learn-awesome.github.io/assets/people/Kevin_Kelly.png,Kevin Kelly,kevin-kelly-books,,,
author,https://learn-awesome.github.io/assets/people/Tim_Urban.png,Tim Urban,tim-urban-books,,,
author,https://learn-awesome.github.io/assets/people/Rolf_Potts.png,Rolf Potts,rolf-potts-books,,,
author,https://learn-awesome.github.io/assets/people/Ramit_Sethi.png,Ramit Sethi,ramit-sethi-books,,,
author,https://learn-awesome.github.io/assets/people/Michael_Pollan.png,Michael Pollan,michael-pollan-books,,,
author,https://learn-awesome.github.io/assets/people/Steven_Pinker.png,Steven Pinker,steven-pinker-books,,,
author,https://learn-awesome.github.io/assets/people/Josh_Waitzkin.png,Josh Waitzkin,josh-waitzkin-books,,,
author,https://learn-awesome.github.io/assets/people/Walter_Isaacson.png,Walter Isaacson,walter-isaacson-books,,,
author,https://learn-awesome.github.io/assets/people/Simon_Sinek.png,Simon Sinek,simon-sinek-books,,,
author,https://learn-awesome.github.io/assets/people/Neil_Strauss.png,Neil Strauss,neil-strauss-books,,,
author,https://learn-awesome.github.io/assets/people/Maria_Popova.png,Maria Popova,maria-popova-books,,,
author,https://learn-awesome.github.io/assets/people/Guy_Kawasaki.png,Guy Kawasaki,guy-kawasaki-books,,,
author,https://learn-awesome.github.io/assets/people/Tom_Peters.png,Tom Peters,tom-peters-books,,,
author,https://learn-awesome.github.io/assets/people/Soman_Chainani.png,Soman Chainani,soman-chainani-books,,,
author,https://learn-awesome.github.io/assets/people/Adam_Robinson.png,Adam Robinson,adam-robinson-books,,,
author,https://learn-awesome.github.io/assets/people/Nassim_Nicholas_Taleb.png,Nassim Nicholas Taleb,nassim-nicholas-taleb-books,,,
author,https://learn-awesome.github.io/assets/people/Chip_Conley.png,Chip Conley,chip-conley-books,,,
author,https://learn-awesome.github.io/assets/people/Krista_Tippett.png,Krista Tippett,krista-tippett-books,,,
author,https://learn-awesome.github.io/assets/people/A.J._Jacobs.png,A.J. Jacobs,aj-jacobs-books,,,
author,https://learn-awesome.github.io/assets/people/Ta-Nehisi_Coates.png,Ta-Nehisi Coates,ta-nehisi-coates-books,,,
author,https://learn-awesome.github.io/assets/people/Doris_Kearns_Goodwin.png,Doris Kearns Goodwin,doris-kearns-goodwin-books,,,
author,https://learn-awesome.github.io/assets/people/Jack_Kornfield.png,Jack Kornfield,jack-kornfield-books,,,
author,https://learn-awesome.github.io/assets/people/Jim_Collins.png,Jim Collins,jim-collins-books,,,
author,https://learn-awesome.github.io/assets/people/Deepak_Chopra.png,Deepak Chopra,deepak-chopra-books,,,
author,https://learn-awesome.github.io/assets/people/Dr._Gabor_Mat%C3%A9.png,Dr. Gabor Maté,dr-gabor-mate-books,,,
author,https://learn-awesome.github.io/assets/people/Paul_Stamets.png,Paul Stamets,paul-stamets-books,,,
author,https://learn-awesome.github.io/assets/people/Yuval_Noah_Harari.png,Yuval Noah Harari,yuval-noah-harari-books,,,
author,https://learn-awesome.github.io/assets/people/David_Allen.png,David Allen,david-allen-books,,,
author,https://learn-awesome.github.io/assets/people/Ed_Cooke.png,Ed Cooke,ed-cooke-books,,,
author,https://learn-awesome.github.io/assets/people/Marc_Goodman.png,Marc Goodman,marc-goodman-books,,,
author,https://learn-awesome.github.io/assets/people/Stephen_Dubner.png,Stephen Dubner,stephen-dubner-books,,,
author,https://learn-awesome.github.io/assets/people/Tara_Brach.png,Tara Brach,tara-brach-books,,,
author,https://learn-awesome.github.io/assets/people/Mark_Bittman.png,Mark Bittman,mark-bittman-books,,,
author,https://learn-awesome.github.io/assets/people/Cal_Fussman.png,Cal Fussman,cal-fussman-books,,,
author,https://learn-awesome.github.io/assets/people/Caroline_Paul.png,Caroline Paul,caroline-paul-books,,,
author,https://learn-awesome.github.io/assets/people/Alain_de_Botton.png,Alain de Botton,alain-de-botton-books,,,
author,https://learn-awesome.github.io/assets/people/Susan_Cain.png,Susan Cain,susan-cain-books,,,
author,https://learn-awesome.github.io/assets/people/Cheryl_Strayed.png,Cheryl Strayed,cheryl-strayed-books,,,
author,https://learn-awesome.github.io/assets/people/Jane_McGonigal.png,Jane McGonigal,jane-mcgonigal-books,,,
author,https://learn-awesome.github.io/assets/people/Greg_McKeown.png,Greg McKeown,greg-mckeown-books,,,
author,https://learn-awesome.github.io/assets/people/Suzy_Amis_Cameron.png,Suzy Amis Cameron,suzy-amis-cameron-books,,,
author,https://learn-awesome.github.io/assets/people/Julia_Galef.png,Julia Galef,julia-galef-books,,,
